Location,Product,Category,Strain,Type,Remaining Count,Usable,Inventory ID,External Barcode,Expiration Date,CostPerUnit,TotalCost,ValuePerUnit,TotalValue,PotentitalProfitPerUnit,TotalPotentialProfit,PostTaxValuePerUnit,PostTaxTotalValue,Grade,RoomData,TotalOnHand Count,Days,Description,TotalOnHand Weight,Remaining Weight,Batch Number,CBD,CBDA,CBN,THC,THCA,Total,THC: ,CBD:,Custom_3 ,Test Date:
DocMGNT,Cali Kush Haze - Trim,Trim,Cali Kush Haze,Other Material Lot,2415,0,M 00026C 14 14 4628603,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2415.00,2415,,,0,0,,,,,,,,,,,
DocMGNT,Cali Kush Haze - Trim,Trim,Cali Kush Haze,Other Material Lot,2924,0,M 00026C 14 14 1015134,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2924.00,2924,,,0,0,,,,,,,,,,,
DocMGNT,Cali Kush Haze - Trim,Trim,Cali Kush Haze,Other Material Lot,2198,0,M 00026C 14 14 2290737,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2198.00,2198,,,0,0,,,,,,,,,,,
DocMGNT,Cali Kush Haze - Trim,Trim,Cali Kush Haze,Other Material Lot,2094,0,M 00026C 14 14 8429495,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2094.00,2094,,,0,0,,,,,,,,,,,
DocMGNT,Cali Kush Haze Flower,Flower - Bulk,Cali Kush Haze,Flower Lot,4086,,M 00026C 14 13 6384220,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4086.00,4086,,,4086,4086,,,,,,,,,,,
DocMGNT,Cali Kush Haze Flower,Flower - Bulk,Cali Kush Haze,Flower Lot,4065,,M 00026C 14 13 6130272,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 4065.00,4065,,,4065,4065,,,,,,,,,,,
DocMGNT,Cali Kush Haze Flower,Flower - Bulk,Cali Kush Haze,Flower Lot,2077,,M 00026C 14 13 3617455,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2077.00,2077,,,2077,2077,,,,,,,,,,,
DocMGNT,Cali Kush Haze Flower,Flower - Bulk,Cali Kush Haze,Flower Lot,21,,M 00026C 14 13 4997361,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 21,21,,,21,21,,,,,,,,,,,
DocMGNT,Cookies and Chem - Trim,Trim,Cookies and Chem,Other Material Lot,810,,M 00026C 14 14 7526355,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 810.00,810,2,,810,810,,,,,,,,,,,
DocMGNT,Cookies and Chem - Trim,Trim,Cookies and Chem,Other Material Lot,2706,,M 00026C 14 14 0286049,,,0,0,0,0,0,0,0,0,,08.28.2023 (Bay 15): 2706.00,2706,2,,2706,2706,,,,,,,,,,,
